No,late_w1,late_w2,late_w3,late_w4,late_w5,late_w6,late_w7,late_w8,late_w9,late_w10,late_w11,late_w12,late_w13,late_w14,late_w15,late_w16,late_w17,late_w18,late_w19,late_w20,late_w21,late_w22,late_w23,late_w24,late_w25,late_w26,late_w27,late_w28,late_w29,late_w30,late_w31,late_w32,late_w33,late_w34,late_w35,late_w36,late_w37,late_w38,late_w39,late_w40,late_w41,late_w42,late_w43,late_w44,late_w45,late_w46,late_w47,late_w48,late_w49,over_w1,over_w2,over_w3,over_w4,over_w5,over_w6,over_w7,over_w8,over_w9,over_w10,over_w11,over_w12,over_w13,over_w14,over_w15,over_w16,over_w17,over_w18,over_w19,over_w20,over_w21,over_w22,over_w23,over_w24,over_w25,over_w26,over_w27,over_w28,over_w29,over_w30,over_w31,over_w32,over_w33,over_w34,over_w35,over_w36,over_w37,over_w38,over_w39,over_w40,over_w41,over_w42,over_w43,over_w44,over_w45,over_w46,over_w47,over_w48,over_w49,hol_w1,hol_w2,hol_w3,hol_w4,hol_w5,hol_w6,hol_w7,hol_w8,hol_w9,hol_w10,hol_w11,hol_w12,hol_w13,hol_w14,hol_w15,hol_w16,hol_w17,hol_w18,hol_w19,hol_w20,hol_w21,hol_w22,hol_w23,hol_w24,hol_w25,hol_w26,hol_w27,hol_w28,hol_w29,hol_w30,hol_w31,hol_w32,hol_w33,hol_w34,hol_w35,hol_w36,hol_w37,hol_w38,hol_w39,hol_w40,hol_w41,hol_w42,hol_w43,hol_w44,hol_w45,hol_w46,hol_w47,hol_w48,hol_w49,breakt_w1,breakt_w2,breakt_w3,breakt_w4,breakt_w5,breakt_w6,breakt_w7,breakt_w8,breakt_w9,breakt_w10,breakt_w11,breakt_w12,breakt_w13,breakt_w14,breakt_w15,breakt_w16,breakt_w17,breakt_w18,breakt_w19,breakt_w20,breakt_w21,breakt_w22,breakt_w23,breakt_w24,breakt_w25,breakt_w26,breakt_w27,breakt_w28,breakt_w29,breakt_w30,breakt_w31,breakt_w32,breakt_w33,breakt_w34,breakt_w35,breakt_w36,breakt_w37,breakt_w38,breakt_w39,breakt_w40,breakt_w41,breakt_w42,breakt_w43,breakt_w44,breakt_w45,breakt_w46,breakt_w47,breakt_w48,breakt_w49,off_w1,off_w2,off_w3,off_w4,off_w5,off_w6,off_w7,off_w8,off_w9,off_w10,off_w11,off_w12,off_w13,off_w14,off_w15,off_w16,off_w17,off_w18,off_w19,off_w20,off_w21,off_w22,off_w23,off_w24,off_w25,off_w26,off_w27,off_w28,off_w29,off_w30,off_w31,off_w32,off_w33,off_w34,off_w35,off_w36,off_w37,off_w38,off_w39,off_w40,off_w41,off_w42,off_w43,off_w44,off_w45,off_w46,off_w47,off_w48,off_w49,half_w1,half_w2,half_w3,half_w4,half_w5,half_w6,half_w7,half_w8,half_w9,half_w10,half_w11,half_w12,half_w13,half_w14,half_w15,half_w16,half_w17,half_w18,half_w19,half_w20,half_w21,half_w22,half_w23,half_w24,half_w25,half_w26,half_w27,half_w28,half_w29,half_w30,half_w31,half_w32,half_w33,half_w34,half_w35,half_w36,half_w37,half_w38,half_w39,half_w40,half_w41,half_w42,half_w43,half_w44,half_w45,half_w46,half_w47,half_w48,half_w49,worktime_w1,worktime_w2,worktime_w3,worktime_w4,worktime_w5,worktime_w6,worktime_w7,worktime_w8,worktime_w9,worktime_w10,worktime_w11,worktime_w12,worktime_w13,worktime_w14,worktime_w15,worktime_w16,worktime_w17,worktime_w18,worktime_w19,worktime_w20,worktime_w21,worktime_w22,worktime_w23,worktime_w24,worktime_w25,worktime_w26,worktime_w27,worktime_w28,worktime_w29,worktime_w30,worktime_w31,worktime_w32,worktime_w33,worktime_w34,worktime_w35,worktime_w36,worktime_w37,worktime_w38,worktime_w39,worktime_w40,worktime_w41,worktime_w42,worktime_w43,worktime_w44,worktime_w45,worktime_w46,worktime_w47,worktime_w48,worktime_w49,workday_w1,workday_w2,workday_w3,workday_w4,workday_w5,workday_w6,workday_w7,workday_w8,workday_w9,workday_w10,workday_w11,workday_w12,workday_w13,workday_w14,workday_w15,workday_w16,workday_w17,workday_w18,workday_w19,workday_w20,workday_w21,workday_w22,workday_w23,workday_w24,workday_w25,workday_w26,workday_w27,workday_w28,workday_w29,workday_w30,workday_w31,workday_w32,workday_w33,workday_w34,workday_w35,workday_w36,workday_w37,workday_w38,workday_w39,workday_w40,workday_w41,workday_w42,workday_w43,workday_w44,workday_w45,workday_w46,workday_w47,workday_w48,workday_w49
4028036,0,0,0,0,0,0,0,1,0,1,2,0,3,1,3,1,2,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,3,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,3,3,2,3,3,4,3,4,3,1,0,2,1,2,2,2,0,1,0,1,2,1,1,0,2,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,1,3,14,6,1,8,6,19,5,3,10,10,5,2,16,11,13,8,6,7,3,19,6,13,4,5,1,6,6,11,5,2,8,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4181,5090,3573,4595,3932,3838,1282,3526,3392,4650,3768,4117,3469,3486,2352,3343,2745,3408,3634,3459,1793,3157,2409,3162,3444,2947,3439,2889,2659,3223,3071,2672,3582,2784,2474,2894,2367,0,0,0,0,0,0,0,0,0,0,0,1,5,6,5,6,5,5,2,5,6,7,5,6,5,7,4,5,4,6,5,5,3,5,4,5,5,5,5,5,4,5,6,4,5,5,4,5,5,0,0,0,0,0,0,0,0,0,0,0
4028038,0,1,0,2,0,0,2,2,2,0,0,0,0,0,2,0,2,1,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,2,4,2,3,3,2,0,1,1,0,1,1,1,1,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,2,2,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,4,0,6,4,7,16,6,7,6,12,14,7,7,10,5,7,15,2,2,5,4,7,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668,3942,4756,4280,2963,4864,5222,2271,5120,4051,3461,2896,2501,3957,4577,3270,3210,3248,2590,4402,3257,4022,3258,2883,2678,2812,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,6,5,6,7,4,7,6,6,5,4,6,6,6,6,5,4,6,6,5,5,5,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4028040,0,2,2,2,1,2,2,1,2,3,1,1,3,3,3,4,3,3,2,3,3,2,3,3,0,2,3,4,1,2,2,2,2,3,2,1,1,1,1,1,2,3,0,2,1,0,1,1,0,0,0,0,0,0,0,1,0,1,3,4,3,2,0,0,3,3,2,1,3,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26,14,21,20,20,26,4,16,32,15,7,14,15,27,35,24,20,18,21,17,14,16,13,27,17,16,25,27,35,20,28,18,14,24,27,13,39,22,14,19,27,18,26,32,22,18,16,7,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2788,2307,2814,2845,2656,3435,1081,3093,3471,3486,2933,3148,2417,2929,3348,3287,2557,2738,3332,2539,2636,2948,2308,2917,2773,2688,2958,2837,3094,2961,2631,2450,2253,2781,2800,2905,2860,2935,1659,2231,2780,2689,2810,2813,2779,2899,2957,0,1,5,4,5,5,5,6,2,5,5,5,5,5,5,5,5,6,4,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,3,4,5,5,5,5,5,5,5,1
4028044,0,0,1,1,0,1,3,5,1,1,1,0,0,2,0,2,3,1,1,4,3,3,1,3,1,1,0,0,1,3,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,3,1,3,0,0,2,3,5,2,2,2,0,1,0,1,0,0,0,2,0,2,1,0,4,3,3,3,3,0,0,0,0,0,0,1,1,0,3,2,2,2,0,0,1,0,1,0,1,1,3,2,2,0,0,1,0,2,0,1,0,4,2,1,0,0,0,0,0,0,2,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,4,2,24,9,16,6,3,12,5,21,8,14,10,6,8,21,15,14,30,34,16,23,22,18,16,20,20,16,9,26,21,20,16,25,17,20,13,29,9,14,13,28,16,28,25,21,19,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3542,3326,4569,2670,3635,2861,2189,3866,2906,2959,2788,2761,2813,2631,2211,3787,2126,2623,3505,3638,3641,3035,3298,2786,2718,2781,2812,2684,2758,3028,2894,2243,3299,3121,3173,2888,2253,2639,2554,2710,3162,2211,2942,2978,3192,3044,2745,0,1,6,5,7,4,6,5,6,7,6,5,5,5,5,4,4,7,4,5,5,5,6,5,5,5,5,5,5,6,5,5,5,4,5,5,5,5,4,5,4,5,5,4,5,5,5,5,5,1
4028046,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,1,1,0,0,0,0,1,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,12,15,9,4,2,3,3,16,11,10,7,14,9,27,17,19,12,26,22,11,6,22,13,17,3,19,8,13,12,10,6,5,12,11,3,11,12,13,6,16,1,1,4,1,4,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2918,2817,2519,3082,2182,2899,1175,2981,2916,3063,2904,3207,2529,3012,3648,2990,2589,3727,3694,1580,2780,2989,3097,3110,2967,2932,2649,3150,3447,3166,2810,2468,3054,2991,1736,2960,3095,2939,1852,3823,3525,2356,2863,2544,2937,2329,3287,2,1,5,5,4,5,4,5,2,5,5,5,5,5,5,5,5,5,4,6,5,3,5,5,5,5,5,5,5,5,6,5,5,4,5,5,3,5,5,5,3,6,6,4,5,5,5,5,5,2
4028048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,1,1,1,1,0,0,2,2,1,1,1,1,1,3,0,2,3,1,2,2,2,2,3,0,1,2,1,0,3,3,4,1,2,2,0,5,3,1,3,3,2,3,2,3,3,4,2,2,4,2,1,3,3,3,4,3,3,1,3,0,1,2,2,3,5,4,3,1,1,1,2,3,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,2,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,1,1,0,0,0,0,0,0,3,7,7,14,1,5,2,8,8,19,0,17,8,16,17,2,13,8,18,16,12,19,20,48,11,25,15,8,8,19,24,19,4,10,30,18,10,25,14,10,18,33,33,24,13,25,22,24,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,3532,3250,3195,3681,3043,3864,1854,2175,2995,0,3959,3914,3016,3643,3051,3240,3302,3553,4173,3434,3291,3645,3809,3207,3355,2620,3598,3357,3401,3559,3393,3369,1917,4350,2889,3406,4111,3763,3298,3802,4091,3618,2945,3015,3089,3638,4071,0,1,5,5,5,5,4,5,3,3,5,0,5,6,5,6,4,5,6,6,7,5,5,6,6,5,5,4,5,5,5,5,5,5,3,6,5,5,6,5,4,6,6,6,5,5,5,5,5,0
4028054,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,2,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,8,15,7,4,8,2,5,9,6,13,7,20,4,5,4,0,1,8,5,5,8,3,9,13,18,11,11,4,8,14,7,6,11,11,2,4,11,4,5,6,4,3,12,7,1,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2294,2836,3597,2945,2629,2775,560,2953,2896,3259,2873,2388,2966,2830,3209,2695,2263,2641,3705,2881,2425,2669,2831,2892,2975,2451,3131,3029,2678,2682,2971,1913,2875,2990,3007,2934,3043,2918,1665,3642,3562,1753,2264,2241,2889,2647,3015,0,1,4,5,6,5,5,5,1,5,5,5,5,4,5,5,5,5,4,4,5,5,4,5,5,5,5,4,5,5,5,5,5,3,5,5,5,5,5,5,3,5,6,3,4,5,5,5,5,1
4028056,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,2,0,1,3,3,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,2,4,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,3,0,3,0,0,0,0,3,3,3,2,3,0,0,4,3,2,4,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,2,1,1,0,0,0,0,0,0,0,2,0,1,2,3,4,2,2,3,2,1,2,5,0,1,1,2,2,2,2,4,8,6,2,2,13,10,1,1,3,3,4,1,5,2,4,2,1,1,9,12,8,3,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,894,3719,3508,3394,2430,2844,2845,1113,2852,2895,2331,2885,2893,3009,0,2647,2352,2413,2459,3723,2787,2470,4267,4412,3112,2856,2784,2798,1728,2905,3429,3726,3392,2666,3712,2505,2635,3844,3404,2361,3570,4207,2709,1669,2212,0,0,0,0,2,5,5,5,4,5,5,2,5,5,4,5,5,5,0,4,4,4,4,5,5,4,5,7,6,4,5,5,3,5,5,6,5,4,6,5,5,6,5,4,6,6,5,3,5,0,0,0,0
4028060,0,3,1,2,5,5,5,2,3,3,5,3,3,4,5,4,3,4,3,4,4,5,5,5,4,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,1,0,0,0,0,0,0,0,0,5,5,0,2,1,4,2,3,2,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,1,1,1,2,1,1,2,2,0,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,8,8,14,14,19,25,17,9,32,17,22,9,12,13,23,34,35,3,31,40,35,22,25,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2349,507,1741,2911,2534,2712,969,1903,2483,3002,2728,2634,3110,3862,4357,1694,2858,3583,3988,2603,3663,4367,3838,4043,3476,2116,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,3,6,5,5,2,4,4,6,5,6,6,6,7,4,5,6,6,4,7,7,7,7,6,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4028062,0,0,0,1,2,0,0,0,0,1,0,1,0,5,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,5,4,4,1,4,3,4,5,4,1,1,4,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,13,14,17,18,25,2,6,17,19,7,7,10,9,15,13,11,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2931,3495,3425,3631,4123,4366,763,3984,4027,4456,4356,4008,3203,3083,4311,3470,2767,4266,1127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,6,6,1,6,6,7,6,6,5,5,6,5,4,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4028066,0,4,4,5,4,2,4,0,1,4,5,5,3,5,5,5,4,4,1,4,4,3,5,3,5,4,5,3,2,4,5,4,4,4,4,5,4,5,4,2,3,0,0,0,0,0,0,0,0,0,1,1,0,0,3,2,0,2,5,2,3,0,1,4,2,0,0,2,2,1,1,1,0,1,0,0,0,0,3,3,3,4,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,0,0,1,2,1,0,0,1,1,2,0,2,2,1,0,0,0,0,1,2,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,9,5,8,4,24,10,6,11,16,13,10,12,18,20,24,13,10,17,26,33,15,19,24,15,11,10,4,7,18,42,20,35,6,21,16,20,19,20,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3312,3093,3045,2758,3471,3400,400,2694,3949,3619,3261,2446,3452,4381,3278,2591,2234,2408,3112,4106,2433,3601,2966,3499,2720,2932,2512,2746,3904,4210,3059,3918,2573,3012,2690,2054,3684,2700,1459,1587,0,0,0,0,0,0,0,0,1,5,5,5,5,6,6,1,4,6,6,5,4,6,7,6,5,4,4,6,7,4,7,5,6,5,5,5,5,6,7,6,6,4,6,5,5,6,5,3,4,0,0,0,0,0,0,0,0
4028068,1,5,5,4,4,5,2,0,2,4,4,4,5,4,5,4,5,4,4,5,5,5,5,5,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,4,2,2,0,0,4,0,4,0,2,1,3,0,1,2,2,2,1,1,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,2,2,1,1,2,0,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,2,6,6,1,6,1,1,2,8,4,9,10,10,4,11,2,0,0,2,2,2,5,5,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,898,3453,4319,3840,3397,2875,2920,1146,3760,2888,3834,2763,3181,3424,4838,4046,3453,2720,3509,3140,3124,4280,4815,3930,2677,2592,1870,2176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,6,5,5,5,2,5,5,6,6,5,6,7,7,6,5,6,5,5,7,7,6,5,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4028070,0,5,5,3,4,5,1,1,4,4,5,4,2,3,3,3,4,4,4,5,4,5,4,5,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,4,1,1,0,0,2,0,1,0,2,1,2,1,2,3,2,3,1,4,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,0,5,3,1,4,0,9,9,0,9,12,5,1,7,6,1,7,3,15,8,6,3,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867,3288,4219,3565,2954,3009,535,559,3270,2698,3438,2879,3243,3525,4305,2872,3603,2810,2927,3988,3030,3714,4396,3571,2152,2880,2154,1127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,6,5,5,1,1,5,5,5,5,5,6,6,5,6,4,4,6,5,6,6,6,4,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4028072,1,5,5,4,4,5,5,2,5,3,5,3,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,4,2,1,0,0,1,0,0,1,0,0,3,1,3,0,3,3,0,3,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,19,4,6,12,17,1,6,11,14,14,10,10,13,16,13,11,10,9,11,7,16,13,11,10,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1049,3393,4173,3663,2820,2867,2800,1062,2827,2735,2712,2671,2627,2741,4123,3504,4247,2755,3281,3933,3000,3604,4623,4055,2844,2939,2399,2096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,6,6,5,5,5,2,5,5,5,4,5,5,6,5,7,5,5,6,5,6,6,6,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
